Provider,Model name,release_date,release_year,resolved_benchmark_mentions,provider_created_or_private_share,provider_created_or_private_raw_mentions,private_or_opaque_share,private_or_opaque_raw_mentions,provider_created_benchmark_share,provider_created_benchmark_raw_mentions,explicit_internal_named_share,explicit_internal_named_raw_mentions,nonzero_lifecycle_risk_share,nonzero_lifecycle_risk_raw_mentions,provider_created_or_private_benchmarks,explicit_internal_named_benchmarks
OpenAI,GPT-4,2023-03-14,2023,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,
Anthropic,Claude 2,2023-07-11,2023,4,0.5,2,0.0,0,0.5,2,0.0,0,0.5,2,GSM8K; HumanEval,
Google,gemini 1.0,2023-12-06,2023,18,0.2777777777777778,5,0.0,0,0.2777777777777778,5,0.0,0,0.2777777777777778,5,Big-Bench Hard; FLEURS; GSM8K; HumanEval; Natural2Code,
Google,Gemini 1.5,2024-02-15,2024,2,0.5,1,0.0,0,0.5,1,0.0,0,0.5,1,MTOB benchmark,
Anthropic,Claude 3,2024-03-04,2024,16,0.3125,5,0.0,0,0.3125,5,0.0,0,0.3125,5,Big-Bench Hard; GPQA; GSM8K; HumanEval; MGSM,
OpenAI,GPT-4o,2024-05-13,2024,14,0.21428571428571427,3,0.0,0,0.21428571428571427,3,0.0,0,0.21428571428571427,3,GPQA; HumanEval; MGSM,
Anthropic,Claude 3.5 Sonnet,2024-06-21,2024,13,0.38461538461538464,5,0.0,0,0.38461538461538464,5,0.0,0,0.38461538461538464,5,Big-Bench Hard; GPQA; GSM8K; HumanEval; MGSM,
OpenAI,o1,2024-09-12,2024,8,0.125,1,0.0,0,0.125,1,0.0,0,0.125,1,GPQA,
OpenAI,o1-mini,2024-09-12,2024,8,0.25,2,0.0,0,0.25,2,0.0,0,0.25,2,GPQA; HumanEval,
Anthropic,Claude 3.5 Haiku,2024-10-23,2024,9,0.3333333333333333,3,0.0,0,0.3333333333333333,3,0.0,0,0.3333333333333333,3,GPQA Diamond; HumanEval; SWE-bench verified,
Google,Gemini 2.0,2024-12-11,2024,14,0.3571428571428571,5,0.07142857142857142,1,0.2857142857142857,4,0.0,0,0.3571428571428571,5,FACTS Grounding; GPQA; HiddenMath; MRCR; Natural2Code,
OpenAI,o3-mini,2025-01-31,2025,11,0.4545454545454546,5,0.0,0,0.4545454545454546,5,0.0,0,0.4545454545454546,5,FrontierMath; GPQA; MGSM; SWE-bench verified; SimpleQA,
Anthropic,Claude 3.7 Sonnet,2025-02-25,2025,8,0.5,4,0.0,0,0.5,4,0.0,0,0.5,4,GPQA Diamond; IFEval; MMMLU; SWE-bench verified,
OpenAI,GPT-4.5,2025-02-27,2025,6,0.5,3,0.0,0,0.5,3,0.0,0,0.5,3,GPQA; MMMLU; SimpleQA,
Google,Gemini 2.5,2025-03-25,2025,10,0.4,4,0.0,0,0.4,4,0.0,0,0.4,4,GPQA; MRCR; SWE-bench verified; SimpleQA,
OpenAI,GPT-4.1,2025-04-14,2025,19,0.3684210526315789,7,0.0,0,0.3684210526315789,7,0.0,0,0.3684210526315789,7,GPQA; GraphWalks; IFEval; MRCR; MultiChallenge; SWE-Lancer; SWE-bench verified,
OpenAI,o3,2025-04-16,2025,13,0.38461538461538464,5,0.0,0,0.38461538461538464,5,0.0,0,0.38461538461538464,5,BrowseComp; GPQA; MultiChallenge; SWE-Lancer; SWE-bench verified,
Anthropic,Claude 4,2025-05-23,2025,7,0.42857142857142855,3,0.0,0,0.42857142857142855,3,0.0,0,0.42857142857142855,3,GPQA Diamond; MMMLU; SWE-bench verified,
Anthropic,Claude 4.1 (Opus),2025-08-05,2025,7,0.42857142857142855,3,0.0,0,0.42857142857142855,3,0.0,0,0.42857142857142855,3,GPQA Diamond; MMMLU; SWE-bench verified,
OpenAI,GPT-5,2025-08-07,2025,16,0.4375,7,0.0,0,0.4375,7,0.0,0,0.5,8,BrowseComp; ERQA; FrontierMath; GPQA; Healthbench; MultiChallenge; SWE-bench verified,
Anthropic,Claude 4.5 (Sonnet),2025-09-30,2025,9,0.3333333333333333,3,0.0,0,0.3333333333333333,3,0.0,0,0.4444444444444444,4,GPQA Diamond; MMMLU; SWE-bench verified,
Anthropic,Claude 4.5 (Haiku),2025-10-16,2025,8,0.375,3,0.0,0,0.375,3,0.0,0,0.5,4,GPQA Diamond; MMMLU; SWE-bench verified,
Google,Gemini 3.0,2025-11-18,2025,21,0.2857142857142857,6,0.047619047619047616,1,0.23809523809523808,5,0.0,0,0.42857142857142855,9,FACTS Benchmark suite; GPQA; MMMLU; MRCR; SWE-bench verified; SimpleQA,
Anthropic,Claude 4.5 (Opus),2025-11-24,2025,13,0.3076923076923077,4,0.0,0,0.3076923076923077,4,0.0,0,0.38461538461538464,5,GPQA Diamond; MMMLU; SWE-bench verified; Scale MCP-Atlas,
OpenAI,GPT-5.2,2025-12-11,2025,20,0.5,10,0.05,1,0.5,10,0.0,0,0.6000000000000001,12,FrontierMath; GDPval; GPQA; GraphWalks; MMMLU; MRCR v2; SWE-Lancer; SWE-bench Pro; SWE-bench verified; Scale MCP-Atlas,
Anthropic,Claude 4.6 (Opus),2026-02-05,2026,21,0.42857142857142855,9,0.09523809523809523,2,0.38095238095238093,8,0.0,0,0.5238095238095237,11,BioPipelineBench; BrowseComp; GDPval-AA; GPQA Diamond; GraphWalks; MMMLU; MRCR v2; SWE-bench verified; Scale MCP-Atlas,
OpenAI,GPT-5.3-Codex,2026-02-05,2026,7,0.5714285714285714,4,0.14285714285714285,1,0.5714285714285714,4,0.0,0,0.5714285714285714,4,GDPval; SWE-Lancer IC Diamond; SWE-bench Pro; SWE-bench verified,
Google,Gemini 3.1 Pro,2026-02-19,2026,16,0.5,8,0.0625,1,0.4375,7,0.0,0,0.5625,9,BrowseComp; GDPval-AA; GPQA Diamond; MMMLU; MRCR v2; SWE-bench Pro; SWE-bench verified; Scale MCP-Atlas,
Google,Gemini 3.1 Flash-Lite,2026-03-03,2026,11,0.4545454545454546,5,0.09090909090909091,1,0.36363636363636365,4,0.0,0,0.5454545454545455,6,FACTS Benchmark suite; GPQA Diamond; MMMLU; MRCR v2; SimpleQA Verified,
OpenAI,GPT-5.4,2026-03-05,2026,26,0.423076923076923,11,0.07692307692307693,2,0.3846153846153846,10,0.038461538461538464,1,0.46153846153846145,12,BrowseComp; CoT-Control; Frontier Science Research; FrontierMath; GDPval; GPQA Diamond; GraphWalks; Investment Banking Modeling Tasks (Internal); MRCR v2; SWE-bench Pro; Scale MCP-Atlas,Investment Banking Modeling Tasks (Internal)
Anthropic,Claude 4.7 (Opus),2026-04-16,2026,31,0.4516129032258063,14,0.16129032258064516,5,0.29032258064516125,9,0.06451612903225806,2,0.4838709677419353,15,Anthropic internal autonomous agentic coding evaluation; BrowseComp; GDPval-AA; GPQA Diamond; GraphWalks; MMMLU; SWE-bench Multimodal; SWE-bench Pro; SWE-bench verified; Scale MCP-Atlas; Structural Biology; automated behavioral audit; internal research-agent benchmark,Anthropic internal autonomous agentic coding evaluation; internal research-agent benchmark
OpenAI,GPT-5.5,2026-04-23,2026,34,0.3823529411764706,13,0.14705882352941177,5,0.2647058823529412,9,0.08823529411764705,3,0.411764705882353,14,BrowseComp; Capture-the-Flags challenge tasks (Internal); Expert-SWE (Internal); FrontierMath; GDPval; GDPval-AA; GPQA Diamond; GeneBench; GraphWalks; Investment Banking Modeling Tasks (Internal); MRCR v2; SWE-bench Pro; Scale MCP-Atlas,Capture-the-Flags challenge tasks (Internal); Expert-SWE (Internal); Investment Banking Modeling Tasks (Internal)
